Artikelnummer;Beschreibung
106481;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>MSI B760M PROJECT ZERO WIFI DDR5</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">MSI B760M PROJECT ZERO WIFI DDR5</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4711377143660</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106481-1.jpg"" alt=""MSI B760M PROJECT ZERO WIFI DDR5"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>4x DDR5 DIMM, max. 256 GB, 7800 MHz</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>WiFi 6E, Bluetooth 5.3</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>Intel B760</td>                         </tr>                                                  <tr>                             <th>Beleuchtung</th>                             <td>Nein</td>                         </tr>                                                  <tr>                             <th>Stromversorgung</th>                             <td>12+1+1 Phasen</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Kühlung)</th>                             <td>1x CPU-Fan, 2x Chassis-Fan</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>8-Kanal HD Audio</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>4x USB 3.2 Gen 2, 1x HDMI, 1x USB 3.2 Gen 2x2 Type-C, 2x USB 3.2 Gen 1, 2x USB 2.0, 1x 2.5G LAN</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>2x M.2, 4x SATA</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>N/A</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Back-Connect Design</li>                                              <li>PCIe 5.0</li>                                              <li>M.2 Shield Frozr</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106482;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>MSI Z790 PROJECT ZERO WIFI DDR5</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">MSI Z790 PROJECT ZERO WIFI DDR5</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4711377154024</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106482-1.jpg"" alt=""MSI Z790 PROJECT ZERO WIFI DDR5"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>4x DDR5 DIMM, max. 256 GB, 7200+(OC) MHz</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>WiFi 7, Bluetooth 5.4</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>ATX</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>Intel Z790</td>                         </tr>                                                  <tr>                             <th>Beleuchtung</th>                             <td>RGB</td>                         </tr>                                                  <tr>                             <th>Stromversorgung</th>                             <td>14+1+1 Phasen</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Kühlung)</th>                             <td>1x CPU-Fan, 2x Chassis-Fan</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>Realtek ALC897</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>4x USB 3.2 Gen 2, 1x HDMI, 1x DisplayPort, 1x USB 3.2 Gen 2x2 Type-C, 1x 2.5G LAN</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>4x M.2, 6x SATA</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>2</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>PCIe 5.0</li>                                              <li>M.2 Shield Frozr</li>                                              <li>Core Boost</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106483;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>MSI B650M PROJECT ZERO WIFI DDR5</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">MSI B650M PROJECT ZERO WIFI DDR5</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4711377126649</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106483-1.jpg"" alt=""MSI B650M PROJECT ZERO WIFI DDR5"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>Sockel AM5</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>4x DDR5 DIMM, max. 256 GB, 7600+(OC) MHz</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>WiFi 6E, Bluetooth 5.3</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>AMD B650</td>                         </tr>                                                  <tr>                             <th>Beleuchtung</th>                             <td>Nein</td>                         </tr>                                                  <tr>                             <th>Stromversorgung</th>                             <td>10+2+1 Phasen</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Kühlung)</th>                             <td>1x CPU-Fan, 2x Chassis-Fan</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>Realtek ALC897</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>2x USB 2.0, 2x USB 3.2 Gen1, 3x USB 3.2 Gen2, 1x USB 3.2 Gen2 Type-C, 1x USB 3.2 Gen2x2 Type-C, 1x HDMI, 1x LAN</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>2x M.2, 4x SATA</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>0</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>2.5G LAN</li>                                              <li>Premium Thermal Solution</li>                                              <li>Lightning M.2</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106529;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>ASUS ROG STRIX Z790-H Gaming WIFI</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">ASUS ROG STRIX Z790-H Gaming WIFI</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4711387038192</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106529-1.jpg"" alt=""ASUS ROG STRIX Z790-H Gaming WIFI"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>Sockel LGA1700</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>4x DDR5 DIMM, max. 128 GB, 7800 MT/s</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>WiFi 6E, Bluetooth 5.3</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>ATX</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>Intel Z790</td>                         </tr>                                                  <tr>                             <th>Beleuchtung</th>                             <td>RGB</td>                         </tr>                                                  <tr>                             <th>Stromversorgung</th>                             <td>16 + 1 Phasen</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Kühlung)</th>                             <td>1x CPU-Fan, 4x Chassis-Fan</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>Realtek S1220A</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>4x USB 3.2 Gen 2, 1x USB-C 3.2 Gen 2x2, 1x HDMI, 1x Ethernet</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>4x M.2, 4x SATA</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>2</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>PCIe 5.0</li>                                              <li>AI Overclocking</li>                                              <li>AI Cooling II</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106560;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Gigabyte B650 EAGLE AX</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Gigabyte B650 EAGLE AX</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4719331860158</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106560-1.jpg"" alt=""Gigabyte B650 EAGLE AX"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>AMD AM5</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>AMD B650</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>ATX</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>DDR5-7600</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>Wi-Fi 6E, Bluetooth 5.3</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>1x USB Type-C, 1x USB 3.2 Gen 1, 3x USB 2.0, 4x SATA 6Gb/s, 1x HDMI</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>4x DDR5 DIMM, 3x M.2, 1x USB Type-C header, 1x USB 3.2 Gen 1 header</td>                         </tr>                                                  <tr>                             <th>Erweiterungsslots</th>                             <td>4 PCIe x16</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>4</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>Realtek</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106564;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Gigabyte B650M AORUS ELITE AX ICE</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Gigabyte B650M AORUS ELITE AX ICE</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4719331859336</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106564-1.jpg"" alt=""Gigabyte B650M AORUS ELITE AX ICE"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>AMD AM5</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>AMD B650</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>DDR5-5200</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>Wi-Fi 6E, Bluetooth 5.2</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>4x USB 3.2 Gen 1, 2x USB 3.2 Gen 2, 1x USB-C 10Gb/s, 1x HDMI, 1x DisplayPort, 2.5GbE LAN</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>4x USB 2.0, 4x SATA 6Gb/s, 2x M.2 Socket 3</td>                         </tr>                                                  <tr>                             <th>Erweiterungsslots</th>                             <td>1x PCIe 5.0 x4, 1x PCIe 4.0 x16, 1x PCIe 4.0 x4</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>3</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>8-Channel HD Audio</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106565;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>MSI MPG B550 GAMING PLUS</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">MSI MPG B550 GAMING PLUS</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4719072731885</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106565-1.jpg"" alt=""MSI MPG B550 GAMING PLUS"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>AMD AM4</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>AMD B550</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>ATX</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>DDR4-4400</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>N/A</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>1x PS/2 Combo Port, 1x DisplayPort, 1x LAN Port, 1x USB 3.2 Gen 2 10Gbps (Type-A), 1x HDMI, 1x USB 2.0, 2x USB 3.2 Gen 1 5Gbps (Type-A), 1x USB 3.2 Gen 2 10Gbps (Type-C), 5x Audio jacks, 1x Optical S/PDIF OUT</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>6x SATA 6Gb/s, 2x M.2 slots (M-Key), 1x USB 3.2 Gen 1 5Gbps Type-C port, 1x USB 3.2 Gen 1 5Gbps connector, 2x USB 2.0 connectors, 1x 4-pin CPU fan connector, 1x 4-pin water-pump fan connector, 6x 4-pin system fan connectors</td>                         </tr>                                                  <tr>                             <th>Erweiterungsslots</th>                             <td>2x PCIe x16, 2x PCIe x1</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>3</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>NUVOTON NCT6687-R</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106569;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Gigabyte B650 AORUS ELITE AX ICE</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Gigabyte B650 AORUS ELITE AX ICE</h1>             <div class=""product-meta"">                 <span class=""badge"">Motherboard</span>                                  <span class=""ean"">GTIN/EAN: 4719331859374</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106569-1.jpg"" alt=""Gigabyte B650 AORUS ELITE AX ICE"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorsockel</th>                             <td>AMD AM5</td>                         </tr>                                                  <tr>                             <th>Chipsatz</th>                             <td>AMD B650</td>                         </tr>                                                  <tr>                             <th>Formfaktor</th>                             <td>ATX</td>                         </tr>                                                  <tr>                             <th>RAM-Unterstützung</th>                             <td>DDR5-5200 MHz</td>                         </tr>                                                  <tr>                             <th>Wireless-Standards</th>                             <td>Wi-Fi 6E, Bluetooth 5.3</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Rückseite)</th>                             <td>1x USB Type-C, 2x USB 3.2 Gen 2 Type-A, 5x USB 3.2 Gen 1, 4x USB 2.0, 1x RJ-45, 3x Audio-Jacks, 1x HDMI, 1x DisplayPort</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (Intern)</th>                             <td>1x USB Type-C, 1x USB 3.2 Gen 2, 2x USB 3.2 Gen 1, 2x USB 2.0</td>                         </tr>                                                  <tr>                             <th>Erweiterungsslots</th>                             <td>1x PCIe 5.0 x4, 1x PCIe 4.0 x16, 2x PCIe 3.0 x1</td>                         </tr>                                                  <tr>                             <th>RGB-Header</th>                             <td>N/A</td>                         </tr>                                                  <tr>                             <th>Audio</th>                             <td>Realtek ALC897</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
101064;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Logitech B100</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Logitech B100</h1>             <div class=""product-meta"">                 <span class=""badge"">Maus</span>                                  <span class=""ean"">GTIN/EAN: 5099206041271</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/101064-1.jpg"" alt=""Logitech B100"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>DPI</th>                             <td>800 dpi</td>                         </tr>                                                  <tr>                             <th>Sensor</th>                             <td>Optisch</td>                         </tr>                                                  <tr>                             <th>Tasten</th>                             <td>3 Tasten</td>                         </tr>                                                  <tr>                             <th>Verbindung</th>                             <td>Kabel</td>                         </tr>                                                  <tr>                             <th>Gewicht</th>                             <td>90 g</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
101618;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Logitech Gaming Maus G502 LIGHTSPEED</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Logitech Gaming Maus G502 LIGHTSPEED</h1>             <div class=""product-meta"">                 <span class=""badge"">Maus</span>                                  <span class=""ean"">GTIN/EAN: 5099206082090</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/101618-1.jpg"" alt=""Logitech Gaming Maus G502 LIGHTSPEED"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>DPI</th>                             <td>100 bis 25.600 dpi</td>                         </tr>                                                  <tr>                             <th>Sensor</th>                             <td>Optisch</td>                         </tr>                                                  <tr>                             <th>Tasten</th>                             <td>11 Tasten</td>                         </tr>                                                  <tr>                             <th>Verbindung</th>                             <td>Funk</td>                         </tr>                                                  <tr>                             <th>Gewicht</th>                             <td>121.90 g</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103315;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Logitech Gaming Maus G502 (Hero)</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Logitech Gaming Maus G502 (Hero)</h1>             <div class=""product-meta"">                 <span class=""badge"">Maus</span>                                  <span class=""ean"">GTIN/EAN: 5099206080270</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103315-1.jpg"" alt=""Logitech Gaming Maus G502 (Hero)"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>DPI</th>                             <td>100 – 25600 dpi</td>                         </tr>                                                  <tr>                             <th>Sensor</th>                             <td>Optisch</td>                         </tr>                                                  <tr>                             <th>Tasten</th>                             <td>11 Tasten</td>                         </tr>                                                  <tr>                             <th>Verbindung</th>                             <td>Kabel</td>                         </tr>                                                  <tr>                             <th>Gewicht</th>                             <td>121 g</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
101045-a;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Inter-Tech KB-118 Tastatur- und Maus-Set DE schwarz</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Inter-Tech KB-118 Tastatur- und Maus-Set DE schwarz</h1>             <div class=""product-meta"">                 <span class=""badge"">Maus & Tastatur Set</span>                                  <span class=""ean"">GTIN/EAN: 4260455643573</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/101045-a-1.png"" alt=""Inter-Tech KB-118 Tastatur- und Maus-Set DE schwarz"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Layout</th>                             <td>DE QWERTZ</td>                         </tr>                                                  <tr>                             <th>Verbindung</th>                             <td>Kabel</td>                         </tr>                                                  <tr>                             <th>Tastatur-Typ</th>                             <td>Rubberdome</td>                         </tr>                                                  <tr>                             <th>Maus-DPI</th>                             <td>1000 dpi</td>                         </tr>                                                  <tr>                             <th>Beleuchtung</th>                             <td>Nein</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
101061;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Logitech MK270 Wireless Tastatur u. Maus Set</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Logitech MK270 Wireless Tastatur u. Maus Set</h1>             <div class=""product-meta"">                 <span class=""badge"">Maus & Tastatur Set</span>                                  <span class=""ean"">GTIN/EAN: 5099206039179</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/101061-1.jpg"" alt=""Logitech MK270 Wireless Tastatur u. Maus Set"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Layout</th>                             <td>DE QWERTZ</td>                         </tr>                                                  <tr>                             <th>Verbindung</th>                             <td>Wireless</td>                         </tr>                                                  <tr>                             <th>Tastatur-Typ</th>                             <td>Rubberdome</td>                         </tr>                                                  <tr>                             <th>Maus-DPI</th>                             <td>1000 dpi</td>                         </tr>                                                  <tr>                             <th>Beleuchtung</th>                             <td>Nein</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
